Correlation: 0.13353297631000666, P-value: 0.0031523645579715257

MAE: 0.08429215021229156, MSE: 0.01133288816531259

                                                                                            name  value_for_money
                                                                                       I'M Hotel         0.087234
                                                               Red Planet Cubao Aurora Boulevard         0.241176
                                                                         Achievers Airport Hotel         0.221053
                                                                          The Bayleaf Intramuros         0.147368
                                                                       Red Planet Manila Binondo         0.270968
                                                                               The Charter House         0.166667
                                                                           Jinjiang Inn - Makati         0.164000
                                                                         Summit Hotel Greenhills         0.137931
                                                                           Fersal Hotel - Manila         0.363636
                                                            Crimson Hotel Filinvest City, Manila         0.154717
                                                                         Stone House Hotel Pasay         0.482353
